RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
54	2834.5	3.03E+01	5.08E-01	5.43E+09	0.00E+00	6.65E-03	2.97E-01	2.58E+01	8.57E-01	5.66E+01	1.99E-05	56.526	5.16E-01	1.82E+02
55	2849.9	3.03E+01	5.29E-01	5.63E+09	0.00E+00	5.95E-03	2.64E-01	2.67E+01	8.25E-01	5.82E+01	2.04E-05	47.394	5.67E-01	1.99E+02
56	3461.7	3.00E+01	6.86E-01	5.95E+09	6.87E-08	8.65E-03	2.33E-01	1.86E+01	8.33E-01	5.43E+01	2.32E-05	53.879	7.35E-01	2.12E+02
57	3906.2	3.01E+01	7.48E-01	5.77E+09	-3.92E-08	8.25E-03	2.33E-01	1.92E+01	8.31E-01	5.40E+01	2.57E-05	47.358	7.86E-01	2.01E+02
58	4463.6	3.01E+01	7.03E-01	4.74E+09	-4.91E-09	1.21E-04	2.66E-01	1.71E+01	8.30E-01	4.35E+01	2.28E-05	1.893	3.58E-01	8.02E+01
59	3390.3	3.04E+01	6.68E-01	6.00E+09	1.89E-07	8.51E-03	2.30E-01	2.11E+01	8.22E-01	5.76E+01	2.43E-05	54.913	6.78E-01	2.00E+02
60	3516.6	3.01E+01	7.20E-01	6.16E+09	0.00E+00	8.19E-03	2.66E-01	2.23E+01	8.31E-01	5.75E+01	2.44E-05	49.385	7.43E-01	2.11E+02
61	4188.4	3.01E+01	7.05E-01	5.06E+09	4.34E-07	8.74E-03	2.33E-01	1.35E+01	8.32E-01	4.46E+01	2.15E-05	49.634	7.75E-01	1.85E+02
62	3579.4	3.01E+01	6.90E-01	5.80E+09	2.70E-08	6.60E-03	2.33E-01	1.92E+01	8.31E-01	5.41E+01	2.37E-05	42.905	6.68E-01	1.87E+02
63	2262.5	3.05E+01	3.66E-01	4.93E+09	7.36E-09	4.44E-03	2.62E-01	2.30E+01	8.85E-01	5.38E+01	1.67E-05	50.918	3.73E-01	1.65E+02
64	2500.3	3.01E+01	5.17E-01	6.21E+09	6.87E-08	5.50E-03	2.33E-01	2.12E+01	8.65E-01	6.00E+01	1.94E-05	45.576	5.34E-01	2.14E+02
65	3221.9	3.03E+01	6.46E-01	6.07E+09	0.00E+00	6.11E-03	2.64E-01	2.38E+01	8.59E-01	6.06E+01	2.44E-05	43.06	6.18E-01	1.92E+02
66	3892.1	3.01E+01	7.16E-01	5.53E+09	2.33E-07	8.70E-03	2.66E-01	1.98E+01	8.31E-01	5.16E+01	2.40E-05	52.91	7.34E-01	1.89E+02
67	3209.6	3.04E+01	5.60E-01	5.30E+09	2.94E-08	7.82E-03	2.30E-01	1.82E+01	8.22E-01	4.98E+01	1.91E-05	54.671	6.34E-01	1.98E+02
68	4315.7	3.04E+01	7.66E-01	5.40E+09	5.96E-07	7.74E-03	2.63E-01	1.52E+01	8.22E-01	4.64E+01	2.26E-05	43.355	7.52E-01	1.74E+02
69	4866.6	3.04E+01	8.71E-01	5.45E+09	0.00E+00	9.07E-03	2.30E-01	2.08E+01	8.22E-01	5.34E+01	3.27E-05	44.167	9.17E-01	1.88E+02
70	3909.2	3.01E+01	7.93E-01	6.10E+09	0.00E+00	8.93E-03	2.33E-01	2.12E+01	8.64E-01	6.00E+01	3.07E-05	46.443	9.12E-01	2.33E+02
