RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
22	6607.2	97.6	120.5	69.8	3.975e+009	8.905e+001	2.93	1.185e-002	8.235e+001	1.246e-002	8.390e+001	1.270e-002	3.338e-003	8.800e+001	1.332e-002	5.912e-003	19.39	4.199e+000	37.82	1.093e+002	1.653e-002	9.509e-003	4.788e+007
23	4819.6	80.9	93.6	65.5	4.149e+009	6.781e+001	2.89	1.221e-002	6.176e+001	1.282e-002	6.130e+001	1.272e-002	2.495e-003	6.530e+001	1.355e-002	4.364e-003	24.98	4.139e+000	49.07	9.140e+001	1.896e-002	9.824e-003	6.781e+007
24	3697	68.5	72.4	64.9	3.583e+009	4.478e+001	3.28	1.317e-002	5.103e+001	1.380e-002	5.100e+001	1.379e-002	2.052e-003	5.400e+001	1.461e-002	3.576e-003	24.05	3.768e+000	46.27	7.660e+001	2.072e-002	7.642e-003	6.856e+007
25	3418.9	70	84.5	51.5	3.783e+009	4.340e+001	3.03	1.259e-002	4.480e+001	1.310e-002	4.425e+001	1.294e-002	1.817e-003	4.690e+001	1.372e-002	3.172e-003	25.41	3.458e+000	48.85	6.985e+001	2.043e-002	7.297e-003	7.025e+007
26	3475.1	68.1	78.7	56.3	3.632e+009	4.274e+001	3.46	1.322e-002	4.603e+001	1.325e-002	4.500e+001	1.295e-002	1.847e-003	4.730e+001	1.361e-002	3.184e-003	28.5	3.093e+000	54.88	7.335e+001	2.111e-002	8.529e-003	8.154e+007
27	3532.2	70.3	83.8	53.8	3.687e+009	4.407e+001	2.92	1.234e-002	4.544e+001	1.287e-002	4.535e+001	1.284e-002	1.839e-003	4.790e+001	1.356e-002	3.225e-003	23.01	3.303e+000	44.89	6.300e+001	1.784e-002	6.553e-003	6.160e+007
28	3286.4	66.3	74.3	56.3	3.898e+009	4.331e+001	2.95	1.308e-002	4.561e+001	1.388e-002	4.640e+001	1.412e-002	1.854e-003	4.810e+001	1.464e-002	3.221e-003	24.41	3.406e+000	47.66	7.035e+001	2.141e-002	7.177e-003	7.243e+007
29	5113.6	80.9	87.9	74	3.980e+009	6.888e+001	2.92	1.237e-002	6.565e+001	1.284e-002	6.495e+001	1.270e-002	2.653e-003	6.890e+001	1.347e-002	4.644e-003	25.33	4.474e+000	49.54	9.365e+001	1.831e-002	1.065e-002	6.912e+007
30	5181	83.1	97.6	67.6	4.142e+009	7.277e+001	3.03	1.286e-002	6.982e+001	1.348e-002	6.910e+001	1.334e-002	2.818e-003	7.375e+001	1.423e-002	4.929e-003	24.78	5.725e+000	48.3	1.115e+002	2.151e-002	1.125e-002	7.225e+007
31	4769.7	78.8	89.6	67.8	3.985e+009	6.425e+001	2.95	1.201e-002	5.807e+001	1.217e-002	5.705e+001	1.196e-002	2.408e-003	5.940e+001	1.245e-002	4.092e-003	21.92	3.231e+000	42.62	7.660e+001	1.606e-002	7.569e-003	5.264e+007
