Three Phase Analysis Version 6.0
Source File: D:\20241209$IHNY$25 AActrl$25pys 0.01$25pys 0.03$25pys 0.05.uvc
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
	  sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	Joules	Joules/m3
85	5572.9	85.6	96.0	74.1	4.142e+009	7.759e+001	2.74	1.147e-002	6.656e+001	1.194e-002	6.840e+001	1.227e-002	2.719e-003	6.800e+001	1.220e-002	4.749e-003	23.94	3.625e+000	46.64	8.980e+001	1.611e-002	9.708e-003	5.746e+007
86	4546.6	79.3	95.7	60.5	4.035e+009	6.095e+001	2.93	1.292e-002	5.929e+001	1.304e-002	5.880e+001	1.293e-002	2.473e-003	6.080e+001	1.337e-002	4.281e-003	23.21	3.839e+000	44.33	8.260e+001	1.817e-002	8.391e-003	6.015e+007
87	3834.8	70.6	76.5	63.8	3.993e+009	5.156e+001	2.87	1.218e-002	4.951e+001	1.291e-002	4.880e+001	1.273e-002	1.998e-003	5.220e+001	1.361e-002	3.487e-003	27.19	3.681e+000	53.02	8.185e+001	2.134e-002	9.070e-003	7.814e+007
88	3483.8	69.4	83.5	53.1	4.092e+009	4.808e+001	2.91	1.247e-002	4.548e+001	1.306e-002	4.505e+001	1.293e-002	1.843e-003	4.825e+001	1.385e-002	3.214e-003	25.28	3.594e+000	49.21	7.275e+001	2.088e-002	7.543e-003	7.164e+007
89	4214.8	76.6	92.9	57.8	4.225e+009	5.997e+001	3.01	1.301e-002	5.473e+001	1.299e-002	5.415e+001	1.285e-002	2.230e-003	5.690e+001	1.350e-002	3.875e-003	25.27	3.231e+000	48.96	7.815e+001	1.854e-002	8.592e-003	6.735e+007
90	3434.8	69.5	81.0	54.0	4.272e+009	4.887e+001	2.78	1.280e-002	4.566e+001	1.329e-002	4.600e+001	1.339e-002	1.904e-003	4.700e+001	1.368e-002	3.272e-003	24.67	3.413e+000	47.55	6.990e+001	2.035e-002	7.242e-003	6.890e+007
91	6157.7	91.2	106.3	73.8	3.521e+009	7.260e+001	3.19	1.146e-002	7.250e+001	1.177e-002	7.115e+001	1.155e-002	2.962e-003	7.525e+001	1.222e-002	5.134e-003	25.69	4.905e+000	49.11	1.095e+002	1.777e-002	1.171e-002	6.248e+007
92	4155.0	75.3	85.4	61.9	4.040e+009	5.621e+001	3.06	1.291e-002	5.543e+001	1.334e-002	5.545e+001	1.335e-002	2.257e-003	5.780e+001	1.391e-002	3.944e-003	26.08	4.033e+000	50.03	8.535e+001	2.054e-002	9.265e-003	7.325e+007
93	4752.3	82.6	101.9	59.4	3.412e+009	5.496e+001	3.16	1.215e-002	6.062e+001	1.275e-002	5.915e+001	1.245e-002	2.377e-003	6.370e+001	1.340e-002	4.197e-003	29.00	4.550e+000	56.53	1.042e+002	2.193e-002	1.204e-002	8.427e+007
94	2921.9	63.5	72.9	51.0	4.261e+009	4.158e+001	2.79	1.275e-002	3.873e+001	1.325e-002	3.775e+001	1.292e-002	1.596e-003	4.020e+001	1.376e-002	2.759e-003	26.34	2.944e+000	51.02	6.255e+001	2.141e-002	6.813e-003	7.640e+007
95	3771.1	70.4	79.8	60.2	4.323e+009	5.476e+001	2.73	1.264e-002	4.874e+001	1.293e-002	4.795e+001	1.272e-002	2.020e-003	5.095e+001	1.351e-002	3.483e-003	25.90	3.077e+000	50.31	7.115e+001	1.887e-002	8.027e-003	7.013e+007
96	2665.7	59.7	66.3	51.2	3.894e+009	3.509e+001	3.02	1.249e-002	3.450e+001	1.294e-002	3.375e+001	1.266e-002	1.401e-003	3.580e+001	1.343e-002	2.422e-003	28.66	2.231e+000	55.75	5.555e+001	2.084e-002	6.583e-003	8.190e+007
97	4433.4	78.4	93.9	60.1	3.623e+009	5.433e+001	2.92	1.223e-002	5.530e+001	1.247e-002	5.520e+001	1.245e-002	2.275e-003	5.660e+001	1.277e-002	3.897e-003	26.58	3.713e+000	51.92	8.480e+001	1.913e-002	9.519e-003	7.124e+007
98	3215.5	64.6	68.6	59.6	4.248e+009	4.624e+001	2.69	1.233e-002	4.110e+001	1.278e-002	4.095e+001	1.274e-002	1.688e-003	4.220e+001	1.312e-002	2.919e-003	24.01	3.028e+000	47.06	6.100e+001	1.897e-002	6.272e-003	6.478e+007
99	4302.7	76.2	88.9	61.6	4.181e+009	6.063e+001	2.71	1.204e-002	5.472e+001	1.272e-002	5.520e+001	1.283e-002	2.254e-003	5.745e+001	1.335e-002	3.883e-003	23.28	3.844e+000	45.27	7.990e+001	1.857e-002	7.981e-003	6.134e+007
100	5844.5	86.5	91.3	81.6	3.765e+009	7.461e+001	3.19	1.209e-002	7.175e+001	1.228e-002	7.230e+001	1.237e-002	2.890e-003	7.310e+001	1.251e-002	5.051e-003	24.38	4.881e+000	47.27	1.036e+002	1.772e-002	1.078e-002	6.135e+007
Min:	2046.9	51.0	55.7	41.8	3.412e+009	2.585e+001	2.02	1.008e-002	2.576e+001	1.133e-002	2.550e+001	1.155e-002	1.065e-003	2.705e+001	1.220e-002	1.827e-003	10.55	4.078e-001	20.61	3.310e+001	1.345e-002	1.848e-003	2.558e+007
Max:	6157.7	91.6	110.7	81.6	4.731e+009	7.786e+001	4.14	1.491e-002	7.727e+001	1.508e-002	7.775e+001	1.500e-002	3.136e-003	8.075e+001	1.548e-002	5.435e-003	31.15	5.885e+000	61.01	1.181e+002	2.264e-002	1.329e-002	9.496e+007
Median:	3834.8	71.6	83.5	58.2	4.037e+009	5.218e+001	2.91	1.245e-002	4.874e+001	1.293e-002	4.825e+001	1.283e-002	1.995e-003	5.075e+001	1.346e-002	3.440e-003	0.00	3.265e+000	49.28	0.000e+000	1.946e-002	7.933e-003	7.017e+007
Mean:	3836.7	71.9	83.8	57.7	4.046e+009	5.205e+001	2.92	1.247e-002	4.939e+001	1.291e-002	4.919e+001	1.285e-002	2.015e-003	5.145e+001	1.345e-002	3.502e-003	25.08	3.183e+000	48.68	7.341e+001	1.922e-002	7.912e-003	6.847e+007
Std. Dev.:	936.9	9.4	13.4	6.9	2.768e+008	1.206e+001	0.24	6.325e-004	1.147e+001	5.637e-004	1.160e+001	5.706e-004	4.684e-004	1.164e+001	6.097e-004	8.055e-004	3.53	9.613e-001	6.89	1.806e+001	1.979e-003	2.292e-003	1.282e+007
% Premature Failure:	0.00
