RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
35	3340.3	65.8	73.7	57.7	4.42E+09	4.96E+01	2.8	1.33E-02	4.77E+01	1.43E-02	4.73E+01	1.42E-02	1.95E-03	4.94E+01	1.48E-02	3.38E-03	28	3.26E+00	54.31	7.70E+01	2.30E-02	8.94E-03	8.82E+07
36	2835.5	63	74.1	48.6	3.99E+09	3.80E+01	2.77	1.25E-02	3.80E+01	1.34E-02	3.91E+01	1.38E-02	1.54E-03	4.14E+01	1.46E-02	2.73E-03	24.39	2.12E+00	47.49	5.45E+01	1.92E-02	5.84E-03	6.79E+07
37	2489.2	58.1	66.3	47.8	4.44E+09	3.68E+01	2.55	1.21E-02	3.16E+01	1.27E-02	3.12E+01	1.25E-02	1.32E-03	3.27E+01	1.31E-02	2.28E-03	28.17	1.89E+00	54.85	4.81E+01	1.93E-02	5.86E-03	7.69E+07
38	3954.7	72.6	86.3	58.4	4.18E+09	5.55E+01	3.07	1.39E-02	5.55E+01	1.40E-02	5.48E+01	1.38E-02	2.29E-03	5.70E+01	1.44E-02	3.94E-03	23.71	4.04E+00	45.65	8.09E+01	2.04E-02	8.18E-03	6.82E+07
39	4040.4	71.8	77.8	66.1	4.23E+09	5.72E+01	2.83	1.27E-02	5.43E+01	1.34E-02	5.42E+01	1.34E-02	2.24E-03	5.61E+01	1.39E-02	3.87E-03	19.85	3.13E+00	38.05	7.09E+01	1.75E-02	6.31E-03	5.14E+07
40	4196.9	72.8	77.4	69	3.84E+09	5.42E+01	3.19	1.32E-02	5.50E+01	1.31E-02	5.37E+01	1.28E-02	2.26E-03	5.62E+01	1.34E-02	3.89E-03	28.16	3.06E+00	54.31	8.21E+01	1.96E-02	9.93E-03	7.80E+07
41	4053.2	74.8	86.3	59.7	3.97E+09	5.45E+01	2.76	1.19E-02	5.12E+01	1.26E-02	5.11E+01	1.26E-02	2.09E-03	5.34E+01	1.32E-02	3.59E-03	26.94	2.77E+00	53.12	7.55E+01	1.86E-02	8.91E-03	7.30E+07
42	3535.4	67.4	70.5	63.8	3.80E+09	4.56E+01	4	1.27E-02	4.56E+01	1.29E-02	4.60E+01	1.30E-02	1.73E-03	5.03E+01	1.42E-02	3.15E-03	16.74	1.73E+00	30.79	5.27E+01	1.49E-02	4.02E-03	3.80E+07
43	5060.3	83.6	98.2	65.6	3.81E+09	6.52E+01	3.39	1.30E-02	7.00E+01	1.38E-02	6.85E+01	1.35E-02	2.75E-03	7.25E+01	1.43E-02	4.84E-03	30.18	4.92E+00	58.23	1.20E+02	2.37E-02	1.44E-02	9.43E+07
44	7023.2	99.9	120.1	74.5	4.41E+09	1.05E+02	2.96	1.29E-02	9.62E+01	1.37E-02	9.37E+01	1.33E-02	3.84E-03	9.78E+01	1.39E-02	6.66E-03	31.16	5.62E+00	61.26	1.60E+02	2.28E-02	2.06E-02	9.75E+07
45	4770.3	82.1	97.5	62.3	4.27E+09	6.89E+01	2.85	1.27E-02	6.36E+01	1.33E-02	6.36E+01	1.33E-02	2.61E-03	6.66E+01	1.40E-02	4.50E-03	24.08	4.26E+00	46.9	9.24E+01	1.94E-02	9.57E-03	6.65E+07
46	3813.6	70.2	77.4	62.8	3.99E+09	5.12E+01	3.1	1.35E-02	5.35E+01	1.40E-02	5.29E+01	1.39E-02	2.17E-03	5.62E+01	1.47E-02	3.79E-03	25.26	4.06E+00	48.75	8.39E+01	2.20E-02	8.72E-03	7.54E+07
47	4060.1	73.1	82.8	62.4	4.06E+09	5.51E+01	2.82	1.22E-02	5.30E+01	1.31E-02	5.26E+01	1.30E-02	2.17E-03	5.43E+01	1.34E-02	3.75E-03	29.85	3.17E+00	57.74	8.52E+01	2.10E-02	1.07E-02	8.60E+07
48	3123.1	64.1	69.3	57.4	4.12E+09	4.30E+01	2.92	1.34E-02	4.35E+01	1.39E-02	4.29E+01	1.37E-02	1.80E-03	4.52E+01	1.45E-02	3.10E-03	25.2	3.17E+00	48.53	6.73E+01	2.16E-02	7.09E-03	7.44E+07
49	3843.5	70.6	73.6	66.5	4.00E+09	5.17E+01	3.14	1.39E-02	5.59E+01	1.46E-02	5.56E+01	1.45E-02	2.28E-03	5.86E+01	1.53E-02	3.97E-03	26.5	4.17E+00	50.96	8.98E+01	2.34E-02	9.67E-03	8.30E+07
50	3857.9	73.9	86.1	57.1	4.57E+09	5.97E+01	2.92	1.35E-02	5.29E+01	1.37E-02	5.22E+01	1.35E-02	2.18E-03	5.40E+01	1.40E-02	3.71E-03	27.78	3.27E+00	54.57	8.04E+01	2.08E-02	9.57E-03	8.24E+07
51	3486.4	67.1	75.1	59.1	3.68E+09	4.31E+01	3.23	1.28E-02	4.62E+01	1.32E-02	4.55E+01	1.30E-02	1.86E-03	4.79E+01	1.37E-02	3.25E-03	28.2	2.93E+00	54.35	7.13E+01	2.04E-02	8.42E-03	7.96E+07
52	3788.8	74.4	88.8	54.3	4.26E+09	5.44E+01	3.11	1.35E-02	5.33E+01	1.41E-02	5.24E+01	1.38E-02	2.14E-03	5.64E+01	1.49E-02	3.71E-03	28.7	3.04E+00	55.49	8.02E+01	2.12E-02	9.83E-03	8.58E+07
53	3323.5	69.6	85.1	49.7	3.99E+09	4.43E+01	3.14	1.36E-02	4.60E+01	1.38E-02	4.57E+01	1.38E-02	1.87E-03	4.75E+01	1.43E-02	3.27E-03	27.23	2.60E+00	52.05	6.65E+01	2.00E-02	7.81E-03	7.69E+07
54	2834.5	62.2	68.4	52.8	4.31E+09	4.11E+01	2.64	1.21E-02	3.58E+01	1.26E-02	3.52E+01	1.24E-02	1.49E-03	3.63E+01	1.28E-02	2.54E-03	28.84	2.01E+00	56.53	5.26E+01	1.86E-02	6.65E-03	7.74E+07
55	2849.9	64.4	79.5	45.7	4.19E+09	4.02E+01	2.84	1.27E-02	3.81E+01	1.34E-02	3.77E+01	1.32E-02	1.58E-03	3.96E+01	1.39E-02	2.72E-03	24.51	2.84E+00	47.39	5.78E+01	2.03E-02	5.95E-03	6.88E+07
56	3461.7	69.4	85.1	51.8	4.57E+09	5.37E+01	2.76	1.31E-02	4.79E+01	1.38E-02	4.74E+01	1.37E-02	1.94E-03	4.92E+01	1.42E-02	3.37E-03	27.27	3.21E+00	53.88	7.49E+01	2.16E-02	8.65E-03	8.33E+07
