Three Phase Analysis Version 6.0
Source File: D:\20241203_NSK_IHNY_bleached_sds washed_old batch_batch 1_batch 2.uvc
RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
	  sq. microns	Microns	Microns	Microns	Pascals	gmf/mm	% Strain	gmf/sq micron	gmf	gmf/sq micron	gmf	gmf/sq micron	Joules	gmf	gmf/sq micron	Joules	% Strain	gmf/mm	% Strain	gmf	gmf/sq micron	Joules	Joules/m3
10	4832.7	80.7	92.1	66.8	4.176e+009	6.830e+001	3.52	1.565e-002	8.029e+001	1.661e-002	8.035e+001	1.663e-002	3.190e-003	8.455e+001	1.750e-002	5.637e-003	21.45	3.316e+000	40.60	1.025e+002	2.121e-002	9.820e-003	6.746e+007
11	4932.2	79.8	90.0	69.8	3.916e+009	6.542e+001	3.52	1.535e-002	8.160e+001	1.654e-002	8.130e+001	1.648e-002	3.229e-003	8.490e+001	1.721e-002	5.695e-003	22.57	4.537e+000	42.90	1.087e+002	2.204e-002	1.075e-002	7.244e+007
12	5393.0	87.4	106.1	65.0	3.982e+009	7.266e+001	3.48	1.423e-002	8.470e+001	1.570e-002	8.570e+001	1.589e-002	3.296e-003	8.945e+001	1.659e-002	5.905e-003	23.33	4.463e+000	44.64	1.137e+002	2.108e-002	1.168e-002	7.189e+007
13	3976.5	72.3	85.8	59.1	4.164e+009	5.598e+001	3.52	1.554e-002	6.575e+001	1.653e-002	6.590e+001	1.657e-002	2.598e-003	6.900e+001	1.735e-002	4.605e-003	26.53	3.426e+000	50.91	9.175e+001	2.307e-002	1.064e-002	8.876e+007
14	4190.1	76.8	89.5	59.7	4.041e+009	5.736e+001	3.62	1.578e-002	6.897e+001	1.646e-002	7.195e+001	1.717e-002	2.778e-003	7.310e+001	1.745e-002	4.894e-003	16.12	4.298e-001	29.91	7.435e+001	1.774e-002	5.948e-003	4.718e+007
15	3239.6	64.2	70.3	58.6	4.336e+009	4.755e+001	3.19	1.435e-002	5.049e+001	1.559e-002	5.270e+001	1.627e-002	1.994e-003	5.440e+001	1.679e-002	3.583e-003	21.89	2.143e+000	42.01	6.630e+001	2.047e-002	6.529e-003	6.693e+007
16	3493.4	72.4	89.9	49.3	4.643e+009	5.517e+001	3.90	1.556e-002	5.647e+001	1.617e-002	5.745e+001	1.645e-002	2.158e-003	6.255e+001	1.791e-002	3.938e-003	17.95	1.342e+000	33.53	6.535e+001	1.871e-002	5.509e-003	5.261e+007
17	5615.4	89.6	104.1	68.7	4.104e+009	7.810e+001	3.66	1.497e-002	8.946e+001	1.593e-002	8.965e+001	1.597e-002	3.532e-003	9.345e+001	1.664e-002	6.248e-003	21.21	3.595e+000	40.23	1.124e+002	2.001e-002	1.074e-002	6.359e+007
18	3019.2	65.7	77.9	49.4	4.714e+009	4.810e+001	3.28	1.608e-002	5.052e+001	1.673e-002	4.980e+001	1.649e-002	2.073e-003	5.115e+001	1.694e-002	3.539e-003	25.80	2.747e+000	49.77	6.995e+001	2.317e-002	7.965e-003	8.748e+007
19
20
21	4191.1	73.9	82.5	64.7	4.204e+009	5.966e+001	3.69	1.578e-002	6.837e+001	1.631e-002	6.850e+001	1.634e-002	2.723e-003	7.065e+001	1.686e-002	4.750e-003	19.97	2.355e+000	37.41	8.215e+001	1.960e-002	7.491e-003	5.938e+007
22	4401.6	79.9	96.1	58.4	4.193e+009	6.241e+001	3.55	1.511e-002	7.073e+001	1.607e-002	7.150e+001	1.624e-002	2.823e-003	7.535e+001	1.712e-002	4.962e-003	21.77	2.384e+000	41.31	8.905e+001	2.023e-002	8.798e-003	6.632e+007
