Summary Data Ver: 1.3
Source File: D:\20241206_EN_IHNY_bleached_ control_locx positive 5_LocxEF positive 1_LOcxEF negative 2.uvc
Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
84	84	Slot 84 : MTT Extension Method, Cycle: 1	48.42	2.362	58.82	0.537	2236.37	44.53	42.25	
85	85	Slot 85 : MTT Extension Method, Cycle: 1	56.25	1.952	73.34	4.286	3244.00	14.75	43.65	
86	86	Slot 86 : MTT Extension Method, Cycle: 1	56.15	1.316	70.86	0.776	3124.91	49.60	61.45	
87	87	Slot 87 : MTT Extension Method, Cycle: 1	59.13	1.182	85.64	3.030	3975.28	56.75	82.00	
88	88	Slot 88 : MTT Extension Method, Cycle: 1	53.55	0.000	60.64	0.000	2550.40	56.98	58.80	
89	89	Slot 89 : MTT Extension Method, Cycle: 1	56.14	2.966	85.10	2.040	3751.77	53.06	88.40	
90	90	Slot 90 : MTT Extension Method, Cycle: 1	61.81	1.207	84.65	3.961	4110.23	44.54	87.85	
91	91	Slot 91 : MTT Extension Method, Cycle: 1	60.21	3.106	73.66	2.032	3480.41	58.70	71.95	
92	92	Slot 92 : MTT Extension Method, Cycle: 1	51.52	2.780	60.13	1.016	2432.79	46.01	53.15	
93	93	Slot 93 : MTT Extension Method, Cycle: 1	62.74	3.253	74.19	1.273	3654.15	2.56	41.15	
94	94	Slot 94 : MTT Extension Method, Cycle: 1	50.66	2.962	74.23	2.013	2951.02	48.45	62.55	
95	95	Slot 95 : MTT Extension Method, Cycle: 1	65.67	6.717	82.88	4.700	4257.97	47.58	88.50	
96	96	Slot 96 : MTT Extension Method, Cycle: 1	52.06	2.427	68.30	2.007	2794.05	40.30	58.45	
97	97	Slot 97 : MTT Extension Method, Cycle: 1	64.77	0.382	79.93	0.389	4065.74	49.32	87.45	
98	98	Slot 98 : MTT Extension Method, Cycle: 1	70.32	3.035	118.19	1.682	6528.00	51.26	132.50	
99	99	Slot 99 : MTT Extension Method, Cycle: 1	61.00	1.491	86.35	3.769	4134.12	49.97	92.35	
100	100	Slot 100 : MTT Extension Method, Cycle: 1	58.08	3.247	88.18	2.315	4019.01	39.97	68.90	
