Summary Data Ver: 1.3
Source File: D:\20241206_EN_IHNY_bleached_ locx NAC positive 3_Locx NAC negative 4_LOcx negative 6.uvc
Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
34	34	Slot 34 : MTT Extension Method, Cycle: 1	53.47	2.866	70.88	6.289	2967.36	55.06	64.95	
35	35	Slot 35 : MTT Extension Method, Cycle: 1	75.20	3.107	101.15	5.708	5965.68	40.64	102.60	
36	36	Slot 36 : MTT Extension Method, Cycle: 1	58.06	4.704	71.23	3.414	3246.08	40.21	61.55	
37	37	Slot 37 : MTT Extension Method, Cycle: 1	57.68	2.247	78.94	2.079	3578.04	49.89	81.05	
38	38	Slot 38 : MTT Extension Method, Cycle: 1	48.43	1.245	76.03	1.806	2891.11	1.93	29.75	
39	39	Slot 39 : MTT Extension Method, Cycle: 1	64.26	2.529	98.51	4.159	4967.40	49.46	109.60	
40	40	Slot 40 : MTT Extension Method, Cycle: 1	58.74	2.965	80.33	8.672	3700.11	35.09	56.45	
41	41	Slot 41 : MTT Extension Method, Cycle: 1	75.68	1.662	96.76	3.177	5749.84	43.32	112.25	
42	42	Slot 42 : MTT Extension Method, Cycle: 1	56.79	3.299	84.24	4.850	3756.55	37.67	65.55	
43	43	Slot 43 : MTT Extension Method, Cycle: 1	55.13	4.231	84.55	0.131	3660.70	46.68	78.60	
44	44	Slot 44 : MTT Extension Method, Cycle: 1	73.08	7.101	107.15	4.866	6132.00	47.81	123.70	
45	45	Slot 45 : MTT Extension Method, Cycle: 1	59.68	5.450	90.48	4.382	4229.98	38.96	74.50	
46	46	Slot 46 : MTT Extension Method, Cycle: 1	44.67	8.867	96.50	2.906	3375.28	41.44	67.50	
47	47	Slot 47 : MTT Extension Method, Cycle: 1	60.22	1.659	98.71	2.128	4667.72	52.41	99.80	
48	48	Slot 48 : MTT Extension Method, Cycle: 1	66.60	3.640	96.55	2.387	5045.35	43.04	96.25	
49	49	Slot 49 : MTT Extension Method, Cycle: 1	59.53	3.812	82.66	1.329	3864.63	42.63	69.45	
50	50	Slot 50 : MTT Extension Method, Cycle: 1	68.60	4.542	85.63	1.632	4610.21	48.68	89.80	
51	51	Slot 51 : MTT Extension Method, Cycle: 1	58.38	1.580	75.30	0.577	3452.42	53.56	76.55	
52	52	Slot 52 : MTT Extension Method, Cycle: 1	67.75	1.952	74.11	0.678	3943.69	48.53	86.10	
53	53	Slot 53 : MTT Extension Method, Cycle: 1	51.78	1.611	70.01	1.806	2848.81	35.65	48.55	
54	54	Slot 54 : MTT Extension Method, Cycle: 1	61.30	4.688	101.49	4.120	4894.88	26.10	66.65	
55	55	Slot 55 : MTT Extension Method, Cycle: 1	65.85	4.303	90.83	2.653	4691.67	41.53	100.60	
56	56	Slot 56 : MTT Extension Method, Cycle: 1	52.18	2.634	62.48	2.713	2557.01	55.07	54.60	
57	57	Slot 57 : MTT Extension Method, Cycle: 1	68.08	2.300	86.38	6.798	4610.39	54.34	102.60	
58	58	Slot 58 : MTT Extension Method, Cycle: 1	80.41	1.976	91.26	1.408	5762.00	41.79	112.10	
59	59	Slot 59 : MTT Extension Method, Cycle: 1	65.03	5.004	83.78	3.510	4277.03	49.47	89.50	
60	60	Slot 60 : MTT Extension Method, Cycle: 1	63.31	2.168	96.38	1.379	4791.81	39.13	94.55	
61	61	Slot 61 : MTT Extension Method, Cycle: 1	69.65	2.004	87.52	2.025	4788.71	47.11	102.70	
62	62	Slot 62 : MTT Extension Method, Cycle: 1	55.44	0.999	86.70	3.163	3774.14	43.62	62.25	
63	63	Slot 63 : MTT Extension Method, Cycle: 1	57.04	0.997	65.02	0.679	2912.83	58.31	67.75	
