RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
68	2392.5	3.02E+01	4.36E-01	5.50E+09	0.00E+00	4.21E-03	2.65E-01	2.52E+01	8.28E-01	5.62E+01	1.66E-05	44.069	4.02E-01	1.68E+02
69	2773.6	3.02E+01	4.74E-01	5.16E+09	0.00E+00	8.85E-03	2.32E-01	2.07E+01	8.95E-01	5.52E+01	2.14E-05	65.385	6.53E-01	2.36E+02
70	5891.2	3.01E+01	9.45E-01	4.82E+09	0.00E+00	1.63E-02	2.33E-01	1.55E+01	8.31E-01	4.40E+01	3.16E-05	64.516	1.17E+00	1.99E+02
71	3178.6	3.03E+01	6.02E-01	5.73E+09	0.00E+00	7.41E-03	2.64E-01	2.32E+01	8.59E-01	5.70E+01	2.29E-05	53.073	6.38E-01	2.01E+02
72	4022.9	3.02E+01	7.53E-01	5.65E+09	0.00E+00	1.02E-02	2.32E-01	2.00E+01	8.94E-01	5.71E+01	3.15E-05	54.353	8.62E-01	2.14E+02
73	3011	3.03E+01	5.98E-01	6.03E+09	1.52E-07	8.57E-03	2.31E-01	2.36E+01	8.90E-01	6.35E+01	2.70E-05	57.713	6.77E-01	2.25E+02
74	3870.5	3.02E+01	6.55E-01	5.11E+09	0.00E+00	1.03E-02	2.65E-01	2.07E+01	8.28E-01	4.92E+01	2.30E-05	54.705	9.05E-01	2.34E+02
75	1949.4	3.06E+01	3.36E-01	5.26E+09	0.00E+00	4.25E-03	2.62E-01	2.89E+01	8.18E-01	5.86E+01	1.47E-05	53.159	3.14E-01	1.61E+02
76	3903.9	3.03E+01	6.94E-01	5.39E+09	0.00E+00	1.17E-02	2.64E-01	2.12E+01	8.25E-01	5.13E+01	2.43E-05	65.215	8.21E-01	2.10E+02
77	3279.8	3.01E+01	6.29E-01	5.77E+09	4.91E-09	1.22E-02	2.33E-01	1.90E+01	8.31E-01	5.32E+01	2.18E-05	67.331	8.70E-01	2.65E+02
78	3258.7	3.02E+01	6.97E-01	6.46E+09	2.82E-07	7.44E-03	2.32E-01	2.08E+01	8.27E-01	5.84E+01	2.34E-05	44.558	7.63E-01	2.34E+02
79	3996.5	3.02E+01	7.31E-01	5.53E+09	2.04E-07	8.35E-03	2.32E-01	1.90E+01	8.27E-01	5.14E+01	2.55E-05	52.663	6.79E-01	1.70E+02
80	2830.6	3.02E+01	5.34E-01	5.70E+09	0.00E+00	7.91E-03	2.32E-01	2.15E+01	8.61E-01	5.81E+01	2.22E-05	55.364	6.81E-01	2.41E+02
81	2352.8	3.06E+01	4.49E-01	5.84E+09	1.03E-07	4.91E-03	2.94E-01	2.73E+01	8.50E-01	6.05E+01	1.80E-05	47.778	4.41E-01	1.87E+02
82	2680.1	3.05E+01	5.20E-01	5.92E+09	0.00E+00	9.10E-03	2.62E-01	2.69E+01	8.19E-01	5.95E+01	1.98E-05	63.073	6.86E-01	2.56E+02
83	4097.6	3.01E+01	6.82E-01	5.01E+09	7.36E-09	1.11E-02	2.32E-01	1.70E+01	8.63E-01	4.84E+01	2.51E-05	53.984	9.89E-01	2.42E+02
84	4291.1	3.01E+01	7.46E-01	5.24E+09	0.00E+00	1.45E-02	2.32E-01	1.73E+01	8.63E-01	5.00E+01	2.72E-05	65.239	1.06E+00	2.47E+02
85	2948.6	3.02E+01	5.09E-01	5.21E+09	0.00E+00	8.82E-03	2.32E-01	2.28E+01	8.29E-01	5.37E+01	2.00E-05	62.554	6.67E-01	2.26E+02
86	4508.4	3.02E+01	7.63E-01	5.10E+09	5.57E-07	1.34E-02	2.65E-01	1.70E+01	8.29E-01	4.70E+01	2.45E-05	58.872	1.10E+00	2.43E+02
87	3954.3	3.00E+01	8.19E-01	6.21E+09	3.96E-06	9.54E-03	9.34E-01	3.40E+01	1.40E+00	6.29E+01	2.64E-05	48.899	9.09E-01	2.30E+02
88	4423.6	3.01E+01	8.40E-01	5.71E+09	0.00E+00	1.26E-02	2.33E-01	1.92E+01	8.64E-01	5.53E+01	3.17E-05	56.915	1.07E+00	2.41E+02
89	2146.7	3.02E+01	3.74E-01	5.26E+09	0.00E+00	7.27E-03	2.32E-01	2.31E+01	8.27E-01	5.39E+01	1.52E-05	68.674	5.01E-01	2.34E+02
