14	Slot  : FDAS770 Double-Ended	5	552	0	360	1098	2954.3	65.94	79.44	47.35	10.7449	237	
15	Slot  : FDAS770 Double-Ended	1	24	0	360	1183	3510.6	67.84	77.20	57.90	6.6399	233	
15	Slot  : FDAS770 Double-Ended	2	156	0	360	1183	3461.4	67.14	72.44	60.84	4.1449	236	
15	Slot  : FDAS770 Double-Ended	3	288	0	360	1183	3292.8	66.40	71.00	59.05	4.2899	236	
15	Slot  : FDAS770 Double-Ended	4	420	0	360	1183	3371.3	66.90	71.84	59.75	4.1449	234	
15	Slot  : FDAS770 Double-Ended	5	552	0	360	1183	2601.7	58.15	61.40	53.95	2.2500	233	
16	Slot  : FDAS770 Double-Ended	1	24	0	360	1254	2044.5	51.60	59.50	43.75	5.1549	235	
16	Slot  : FDAS770 Double-Ended	2	156	0	360	1254	2130.2	52.09	54.75	49.54	1.4299	236	
16	Slot  : FDAS770 Double-Ended	3	288	0	360	1254	2434.8	56.85	61.34	50.54	3.7150	237	
16	Slot  : FDAS770 Double-Ended	4	420	0	360	1254	2559.0	60.00	67.25	48.45	6.6350	231	
16	Slot  : FDAS770 Double-Ended	5	552	0	360	1254	2516.2	58.50	65.25	49.10	5.1849	236	
17	Slot  : FDAS770 Double-Ended	1	24	0	360	1330	3254.9	66.34	79.09	52.40	9.1750	237	
17	Slot  : FDAS770 Double-Ended	2	156	0	360	1330	2966.5	65.39	76.15	49.60	8.6350	235	
17	Slot  : FDAS770 Double-Ended	3	288	0	360	1330	2756.4	61.54	70.90	49.50	6.9650	233	
17	Slot  : FDAS770 Double-Ended	4	420	0	360	1330	2808.6	62.35	71.45	50.05	7.2400	236	
17	Slot  : FDAS770 Double-Ended	5	552	0	360	1330	2568.9	59.95	68.50	47.75	6.9249	235	
18	Slot  : FDAS770 Double-Ended	1	24	0	360	1409	2553.5	62.60	75.54	43.04	10.4549	235	
18	Slot  : FDAS770 Double-Ended	2	156	0	360	1409	2713.1	62.00	74.05	46.65	9.3099	236	
