Summary Data Ver: 1.3
Source File: D:\20241205_EN_IHNY_bleached_ELI-1 AA control_0.01_0.03_0.05.uvc
Record	Sample	Description	Min. Diameter	Min. Diameter SD	Max. Diameter	Max. Diameter SD	Mean Cross-Section	Break Extension	Break Value
30	30	Slot 30 : MTT Extension Method, Cycle: 1	58.20	0.673	74.75	1.966	3417.10	35.74	53.10	
31	31	Slot 31 : MTT Extension Method, Cycle: 1	62.99	0.614	95.35	1.473	4717.49	56.90	99.05	
32		tag	
33	33	Slot 33 : MTT Extension Method, Cycle: 1	48.30	0.000	60.09	0.000	2279.50	44.90	40.75	
34	34	Slot 34 : MTT Extension Method, Cycle: 1	45.44	0.000	51.39	0.000	1834.03	52.21	40.65	
35	35	Slot 35 : MTT Extension Method, Cycle: 1	57.94	1.598	77.50	2.291	3525.13	56.34	70.30	
36	36	Slot 36 : MTT Extension Method, Cycle: 1	58.16	3.891	95.73	5.872	4365.59	52.57	91.45	
37		tag	
38	38	Slot 38 : MTT Extension Method, Cycle: 1	59.23	3.056	79.53	2.514	3703.28	44.63	61.10	
39	39	Slot 39 : MTT Extension Method, Cycle: 1	61.31	3.328	89.10	4.900	4283.47	46.77	85.20	
40	40	Slot 40 : MTT Extension Method, Cycle: 1	53.38	0.150	87.50	2.558	3668.01	44.90	79.50	
41	41	Slot 41 : MTT Extension Method, Cycle: 1	51.73	0.410	85.60	0.327	3477.73	50.96	67.30	
42	42	Slot 42 : MTT Extension Method, Cycle: 1	57.88	2.652	68.50	0.841	3112.56	54.11	61.70	
43	43	Slot 43 : MTT Extension Method, Cycle: 1	60.58	0.436	91.06	1.104	4332.52	60.42	92.50	
44	44	Slot 44 : MTT Extension Method, Cycle: 1	52.99	3.748	62.97	2.432	2624.28	49.88	50.65	
45	45	Slot 45 : MTT Extension Method, Cycle: 1	64.93	0.995	82.88	2.237	4226.76	48.10	79.35	
46	46	Slot 46 : MTT Extension Method, Cycle: 1	53.65	1.908	63.85	1.610	2691.05	53.85	48.95	
47	47	Slot 47 : MTT Extension Method, Cycle: 1	61.51	1.455	77.35	1.881	3736.25	49.31	72.25	
48	48	Slot 48 : MTT Extension Method, Cycle: 1	52.66	1.056	74.01	1.130	3060.55	52.44	63.05	
49	49	Slot 49 : MTT Extension Method, Cycle: 1	62.95	0.000	88.75	0.000	4387.87	36.68	72.75	
50	50	Slot 50 : MTT Extension Method, Cycle: 1	65.01	0.595	105.53	2.200	5389.30	49.98	98.45	
51	51	Slot 51 : MTT Extension Method, Cycle: 1	60.53	3.137	81.86	2.723	3891.81	49.02	76.05	
52		tag	
53		tag	
54	54	Slot 54 : MTT Extension Method, Cycle: 1	64.45	1.517	87.85	0.873	4445.80	50.80	92.30	
55	55	Slot 55 : MTT Extension Method, Cycle: 1	73.45	0.636	104.15	0.919	6007.92	53.37	125.20	
56	56	Slot 56 : MTT Extension Method, Cycle: 1	52.76	1.201	84.48	1.295	3500.98	39.80	69.65	
57	57	Slot 57 : MTT Extension Method, Cycle: 1	65.91	0.359	93.40	4.599	4834.45	54.32	108.60	
58	58	Slot 58 : MTT Extension Method, Cycle: 1	67.25	0.000	86.45	0.000	4566.12	7.04	49.60	
59	59	Slot 59 : MTT Extension Method, Cycle: 1	54.58	1.337	105.93	1.505	4540.84	51.61	95.55	
60	60	Slot 60 : MTT Extension Method, Cycle: 1	78.78	0.035	90.37	0.311	5591.17	42.32	98.65	
61	61	Slot 61 : MTT Extension Method, Cycle: 1	50.90	0.756	77.60	2.750	3100.81	49.39	59.80	
62	62	Slot 62 : MTT Extension Method, Cycle: 1	58.77	1.597	78.57	3.957	3628.67	51.21	73.80	
63	63	Slot 63 : MTT Extension Method, Cycle: 1	46.05	1.127	68.00	2.107	2458.15	43.72	47.15	
64	64	Slot 64 : MTT Extension Method, Cycle: 1	51.60	0.000	57.25	0.000	2320.14	50.96	43.80	
65	65	Slot 65 : MTT Extension Method, Cycle: 1	59.96	1.288	74.01	1.382	3485.61	55.68	77.90	
66	66	Slot 66 : MTT Extension Method, Cycle: 1	61.40	0.000	73.15	0.000	3527.54	45.39	71.50	
67	67	Slot 67 : MTT Extension Method, Cycle: 1	63.29	0.000	73.59	0.000	3658.00	43.14	58.90	
68	68	Slot 68 : MTT Extension Method, Cycle: 1	46.84	0.000	50.84	0.000	1870.30	41.69	35.45	
69	69	Slot 69 : MTT Extension Method, Cycle: 1	57.16	1.582	90.53	3.876	4064.32	59.62	84.10	
70	70	Slot 70 : MTT Extension Method, Cycle: 1	52.92	0.629	63.44	3.711	2635.90	50.08	53.30	
71	71	Slot 71 : MTT Extension Method, Cycle: 1	55.61	1.280	70.71	0.176	3088.53	49.80	58.15	
72	72	Slot 72 : MTT Extension Method, Cycle: 1	57.76	0.854	73.93	2.791	3354.82	47.78	65.35	
73	73	Slot 73 : MTT Extension Method, Cycle: 1	52.06	0.318	57.04	0.771	2332.57	48.92	41.80	
74	74	Slot 74 : MTT Extension Method, Cycle: 1	61.72	2.374	89.07	1.399	4318.07	0.92	25.00	
75	75	Slot 75 : MTT Extension Method, Cycle: 1	62.33	1.851	76.91	2.922	3764.27	52.27	84.35	
76	76	Slot 76 : MTT Extension Method, Cycle: 1	59.13	0.792	95.76	2.238	4446.92	41.34	84.85	
77	77	Slot 77 : MTT Extension Method, Cycle: 1	60.03	0.841	74.45	1.586	3509.28	47.42	62.60	
78	78	Slot 78 : MTT Extension Method, Cycle: 1	59.63	2.196	86.46	1.255	4049.72	58.68	80.85	
79	79	Slot 79 : MTT Extension Method, Cycle: 1	52.02	1.739	73.48	3.179	3003.89	47.82	55.55	
80	80	Slot 80 : MTT Extension Method, Cycle: 1	61.54	1.489	97.18	3.916	4695.40	44.91	74.70	
81	81	Slot 81 : MTT Extension Method, Cycle: 1	53.79	0.591	87.63	3.086	3701.33	52.10	78.25	
82	82	Slot 82 : MTT Extension Method, Cycle: 1	62.68	3.371	96.23	3.001	4731.68	47.09	96.95	
83	83	Slot 83 : MTT Extension Method, Cycle: 1	75.87	9.309	103.25	4.958	6129.37	38.97	101.40	
84	84	Slot 84 : MTT Extension Method, Cycle: 1	54.48	1.359	84.59	6.324	3615.55	46.04	62.60	
85	85	Slot 85 : MTT Extension Method, Cycle: 1	54.22	1.762	90.24	1.095	3841.78	46.75	74.75	
86	86	Slot 86 : MTT Extension Method, Cycle: 1	56.32	3.410	71.10	0.876	3146.18	48.25	65.75	
87	87	Slot 87 : MTT Extension Method, Cycle: 1	68.77	0.170	75.94	1.273	4101.74	52.57	91.75	
88	88	Slot 88 : MTT Extension Method, Cycle: 1	78.66	2.752	95.16	2.932	5875.86	44.08	97.20	
89	89	Slot 89 : MTT Extension Method, Cycle: 1	55.43	3.392	84.69	0.901	3685.96	49.70	66.90	
90	90	Slot 90 : MTT Extension Method, Cycle: 1	57.39	1.485	69.93	2.864	3153.47	43.23	57.10	
91	91	Slot 91 : MTT Extension Method, Cycle: 1	44.83	0.480	68.71	1.325	2419.51	46.68	44.60	
92	92	Slot 92 : MTT Extension Method, Cycle: 1	48.20	2.972	99.54	1.670	3770.71	7.21	51.80	
93	93	Slot 93 : MTT Extension Method, Cycle: 1	58.20	1.688	97.43	1.384	4454.64	47.73	83.85	
94	94	Slot 94 : MTT Extension Method, Cycle: 1	50.65	1.580	76.70	2.441	3049.03	52.11	57.10	
95	95	Slot 95 : MTT Extension Method, Cycle: 1	63.32	1.427	89.21	3.934	4437.88	55.18	92.30	
96	96	Slot 96 : MTT Extension Method, Cycle: 1	47.67	1.656	69.36	4.745	2598.10	41.86	46.90	
97	97	Slot 97 : MTT Extension Method, Cycle: 1	81.15	2.578	97.51	0.779	6213.96	52.88	116.05	
98	98	Slot 98 : MTT Extension Method, Cycle: 1	57.67	1.465	81.68	2.406	3697.73	39.24	71.25	
99	99	Slot 99 : MTT Extension Method, Cycle: 1	49.25	1.407	66.53	1.741	2573.17	49.49	52.90	
100	100	Slot 100 : MTT Extension Method, Cycle: 1	56.05	1.431	90.58	1.851	3985.88	52.71	79.55	
