Single Phase Analysis Version 11.0: Basic Format
Source File: D:\20241209$IHNY$25pk30 phosctrl$25pk30 0.01$25pk30 0.03$25pk30 0.05.uvc
Operator: 
Sample ID: 	1000
Bar Code: 	1000
File Comments: 	New File
Lower Area Filter: 	5.0
Upper Area Filter: 	2000.0
(*)Gauge Force Correction To Strain Axis:	NO
(#)Compliance (mm/N): 	0.0000
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH	
	sq. micron	mm	N/mm	Pascals	Joules	Joules	% Strain	MPa	% Strain	MPa	Joules	% Strain	N	MPa	
66	4788.2	3.0070e+001	7.431e-001	4.667e+009	1.275e-007	8.594e-003	2.328e-001	1.363e+001	8.314e-001	4.098e+001	2.325e-005	43.964	8.521e-001	1.779e+002	
67	4338.4	3.0190e+001	6.749e-001	4.697e+009	2.502e-007	8.808e-003	2.319e-001	1.368e+001	8.612e-001	4.297e+001	2.280e-005	46.870	8.319e-001	1.918e+002	
68	5788.1	3.0100e+001	8.950e-001	4.654e+009	3.875e-007	1.402e-002	2.326e-001	1.085e+001	8.638e-001	3.983e+001	2.745e-005					
69	4376.8	3.0130e+001	7.334e-001	5.049e+009	4.537e-007	9.949e-003	2.655e-001	1.737e+001	8.297e-001	4.662e+001	2.393e-005	50.647	9.276e-001	2.119e+002	
70	2961.0	3.0300e+001	5.259e-001	5.382e+009	0.000e+000	7.638e-003	2.640e-001	2.551e+001	8.251e-001	5.600e+001	2.071e-005	60.957	5.563e-001	1.879e+002	
71	2795.9	3.0260e+001	5.277e-001	5.712e+009	0.000e+000	4.626e-004	2.644e-001	2.456e+001	8.592e-001	5.930e+001	2.119e-005	5.288	3.630e-001	1.298e+002	
72	3006.6	3.0120e+001	6.013e-001	6.024e+009	0.000e+000	6.854e-003	2.324e-001	2.186e+001	8.964e-001	6.053e+001	2.519e-005	47.842	6.504e-001	2.163e+002	
73	4806.3	3.0260e+001	8.196e-001	5.160e+009	1.668e-007	9.201e-003	2.644e-001	1.674e+001	8.592e-001	4.766e+001	2.751e-005	45.770	8.638e-001	1.797e+002	
74	3436.5	3.0070e+001	5.750e-001	5.032e+009	0.000e+000	9.192e-003	2.328e-001	1.827e+001	8.314e-001	4.839e+001	2.065e-005	59.295	7.118e-001	2.071e+002	
75	5018.0	3.0160e+001	8.191e-001	4.923e+009	0.000e+000	1.158e-002	2.653e-001	1.701e+001	8.289e-001	4.389e+001	2.584e-005	52.056	1.014e+000	2.022e+002	
